order_number,order_datetime,customer_id,product_id,unit_price,quantity
317568014,2019-08-01 02:47:43,19476252,AVpfuJ4pilAPnD_xhDyM,993,3
317568014,2019-08-01 02:47:43,19476252,AVpe6jFBilAPnD_xQxO2,218,3
317568014,2019-08-01 02:47:43,19476252,AVpfIODe1cnluZ0-eg35,448,2
317568015,2019-08-01 03:27:15,4401099,AVpfdBS41cnluZ0-lBIj,293,4
317568016,2019-08-01 04:07:10,14939501,AVphTO5W1cnluZ0-Aygg,27,1
317568016,2019-08-01 04:07:10,14939501,AVpfMVD-ilAPnD_xW6bu,31,2
317568017,2019-08-01 05:01:48,3072597,AVpiMIyE1cnluZ0-K0TA,60,1
317568017,2019-08-01 05:01:48,3072597,AVz5wc0H-jtxr-f30F6_,149,9
317568017,2019-08-01 05:01:48,3072597,AVpe7vER1cnluZ0-aJu7,618,3
317568018,2019-08-01 05:03:17,2732808,AVpfCQslilAPnD_xThwe,84,1
317568018,2019-08-01 05:03:17,2732808,AVpiMIyE1cnluZ0-K0TA,149,2
317568019,2019-08-01 05:31:42,3838589,AVpfMVD-ilAPnD_xW6bu,27,3
317568019,2019-08-01 05:31:49,3838589,AVpfMVD-ilAPnD_xW6bu,27,3
317568019,2019-08-01 05:31:49,3838589,AVpiJoY0LJeJML43iz5-,63,1
317568020,2019-08-01 05:36:14,7159905,AVpe7vER1cnluZ0-aJu7,60,1
317568020,2019-08-01 05:36:14,7159905,AVpfMVD-ilAPnD_xW6bu,27,2
317568021,2019-08-01 07:20:18,13728809,AVpge6k2LJeJML43OhAl,287,1
317568021,2019-08-01 07:20:18,13728809,AVpfCW42ilAPnD_xTj0y,102,3
317568022,2019-08-01 07:33:59,8513182,AVpfMVD-ilAPnD_xW6bu,27,7
317568022,2019-08-01 07:33:59,8513182,AVpjedgc1cnluZ0-W4NI,239,3
317568023,,1542007,AVpf4W5_ilAPnD_xj6lg,887,7
317568023,,1542007,AVpfuJ4pilAPnD_xhDyM,448,8
317568024,2019-08-01 09:08:23,15817754,AVpfCmFjLJeJML431EzG,169,1
317568024,2019-08-01 09:08:23,15817754,AVpe7V2GLJeJML43yfVz,48,10
317568024,2019-08-01 09:08:23,15817754,AVpfDLA0ilAPnD_xT0sq,63,3
317568025,2019-08-01 09:14:34,12537090,AVpfm9_AilAPnD_xe8Dd,1799,3
317568026,2019-08-01 09:32:45,19140462,AVpffrToLJeJML43-M2g,48,7
317568026,2019-08-01 09:32:45,19140462,AVpfCmFjLJeJML431EzG,98,3
317568027,2019-08-01 10:26:14,11935034,AVpjedgc1cnluZ0-W4NI,63,1
317568027,2019-08-01 10:26:14,11935034,AVpfDLA0ilAPnD_xT0sq,239,2
317568028,2019-08-01 10:27:11,24774688,AVpjedgc1cnluZ0-W4NI,287,2
317568028,2019-08-01 10:27:11,24774688,AVpfMVD-ilAPnD_xW6bu,27,1
317568028,2019-08-01 10:27:11,24774688,AVpfCW42ilAPnD_xTj0y,239,3
317568029,2019-08-01 11:36:51,13721768,AVpfeG5oilAPnD_xcTsG,2356,2
317568029,2019-08-01 11:36:51,13721768,AVpfZaCp1cnluZ0-kDV9,129,3
317568030,2019-08-01 11:46:02,12744134,AVpfIODe1cnluZ0-eg35,218,3
317568030,2019-08-01 11:46:02,12744134,AVpjedgc1cnluZ0-W4NI,293,1
317568030,2019-08-01 11:46:02,12744134,AVpfdBS41cnluZ0-lBIj,239,2
317568031,2019-08-01 12:43:33,22100013,AVpfv62D1cnluZ0-qkPY,184,1
317568032,2019-08-01 13:28:14,3037810,AVpfvvEv1cnluZ0-qhEo,184,7
317568033,2019-08-01 13:32:26,13419197,AVwjhoD2v8e3D1O-nnNv,48,3
317568033,2019-08-01 13:32:26,13419197,AVpfCmFjLJeJML431EzG,249,7
317568033,2019-08-01 13:32:26,13419197,AVpio2wSilAPnD_xGGln,376,3
317568034,2019-08-01 13:44:02,12999178,AVpgV_Dk1cnluZ0-0L_y,184,1
317568034,2019-08-01 13:44:02,12999178,AVpfvvEv1cnluZ0-qhEo,849,3
317568035,,4952777,AVpfPEx61cnluZ0-gyT9,366,1
317568035,,4952777,AVpi7IY9ilAPnD_xIvXb,18,5
317568035,,4952777,AVpe48Es1cnluZ0-ZHZU,599,2
317568036,2019-08-01 14:20:56,22100013,AVpgIu4Q1cnluZ0-xBK-,77,2
317568036,2019-08-01 14:20:56,22100013,AVphVnUALJeJML43Zr9N,56,2
317568037,2019-08-01 14:29:33,31499930,AVpfMVD-ilAPnD_xW6bu,27,2
317568037,2019-08-01 14:29:33,31499930,AVqFXQH5nnc1JgDc3gBZ,510,8
317568037,2019-08-01 14:29:33,31499930,AVph8AfNLJeJML43gfng,181,1
317568038,2019-08-01 14:35:14,22100013,AVpfCW42ilAPnD_xTj0y,287,2
317568038,2019-08-01 14:35:14,22100013,AVpfIODe1cnluZ0-eg35,218,3
317568038,2019-08-01 14:35:14,22100013,AVpfuJ4pilAPnD_xhDyM,448,1
317568039,2019-08-01 14:46:20,17728997,AVpe7V2GLJeJML43yfVz,169,3
317568040,2019-08-01 16:20:17,25263091,AVqkEzW9U2_QcyX9O0Gr,149,8
317568040,2019-08-01 16:20:17,25263091,AVpiMIyE1cnluZ0-K0TA,147,3
317568041,2019-08-01 16:24:29,16995374,AVpfUsrxLJeJML437Ezd,72,3
317568041,2019-08-01 16:24:29,16995374,AVqkEzW9U2_QcyX9O0Gr,147,2
317568042,2019-08-01 16:58:39,46949990,AVpffrToLJeJML43-M2g,98,2
317568043,2019-08-01 18:39:24,16738781,AVwjhoD2v8e3D1O-nnNv,2036,3
317568043,2019-08-01 18:39:24,16738781,AVqVGaCCU2_QcyX9Ozcf,376,8
317568044,2019-08-01 18:58:34,3767344,AVpfCmFjLJeJML431EzG,48,1
317568045,2019-08-01 20:06:32,11137864,AVpffrToLJeJML43-M2g,98,7
317568045,2019-08-01 20:06:32,11137864,AVpio2wSilAPnD_xGGln,713,2
317568045,2019-08-01 20:06:32,11137864,AVphzZkJ1cnluZ0-Gkcq,249,1
317568046,2019-08-01 20:15:21,13861161,AVwjdOdov8e3D1O-nnK9,149,3
317568046,2019-08-01 20:15:21,13861161,AVpjedgc1cnluZ0-W4NI,239,1
317568046,2019-08-01 20:15:21,13861161,AVpiMIyE1cnluZ0-K0TA,312,5
317568047,2019-08-01 20:27:24,12999178,AVqVGaEBv8e3D1O-ldFu,1630,3
317568048,2019-08-01 20:56:49,11442230,AVpfMVD-ilAPnD_xW6bu,27,2
317568049,2019-08-01 21:19:41,20279958,AVphIbvi1cnluZ0--vFy,184,9
317568049,2019-08-01 21:19:41,20279958,AVpio2wSilAPnD_xGGln,249,2
317568050,2019-08-01 21:29:19,10393805,AVz5wc0H-jtxr-f30F6_,27,10
317568050,2019-08-01 21:29:19,10393805,AVpfv62D1cnluZ0-qkPY,184,1
317568050,2019-08-01 21:29:19,10393805,AVpfMVD-ilAPnD_xW6bu,618,1
317568051,2019-08-01 22:17:21,7543046,AVpe7vER1cnluZ0-aJu7,60,7
317568051,2019-08-01 22:17:21,7543046,AVpfMVD-ilAPnD_xW6bu,27,2
317568052,2019-08-01 22:29:20,64153907,AVpfhULY1cnluZ0-mN6h,257,3
317568053,2019-08-01 23:57:43,18229137,AVpe7vER1cnluZ0-aJu7,60,1
317568053,2019-08-01 23:57:43,18229137,AVpfCQslilAPnD_xThwe,84,2
317568054,2019-08-02 01:10:35,1622672,AVqkEzW9U2_QcyX9O0Gr,287,3
317568054,2019-08-02 01:10:35,1622672,AVpfCW42ilAPnD_xTj0y,147,1
317568055,2019-08-02 01:45:05,17728997,AVpfCW42ilAPnD_xTj0y,287,5
317568055,2019-08-02 01:45:05,17728997,AVpfCmFjLJeJML431EzG,48,3
317568055,2019-08-02 01:45:05,17728997,AVpio2wSilAPnD_xGGln,249,1
317568055,2019-08-02 01:45:13,17728997,AVpfCW42ilAPnD_xTj0y,287,5
317568055,2019-08-02 01:45:13,17728997,AVpfCmFjLJeJML431EzG,48,3
